patent_id,inventor_sequence,inventor_id,disambig_inventor_name_first,disambig_inventor_name_last,gender_code,location_id
7289126,0,fl:al_ln:minkin-2,Alexander L.,Minkin,M,b86c5343-16c7-11ed-9b5f-1234bde3cd05
11681340,4,fl:bo_ln:landwehr-1,Boris,Landwehr,M,c1073b1f-16c7-11ed-9b5f-1234bde3cd05
10234893,0,fl:gu_ln:rozas-2,Guillermo J.,Rozas,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8103803,0,fl:sr_ln:reddy-12,Sreenivas Aerra,Reddy,M,37579623-16c8-11ed-9b5f-1234bde3cd05
8234478,1,fl:da_ln:glasco-1,David B.,Glasco,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
12092820,3,fl:ma_ln:gopakumar-1,Manu,Gopakumar,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
7905610,0,fl:dm_ln:shapiro-1,Dmitry,Shapiro,M,0c4fb5d0-16c8-11ed-9b5f-1234bde3cd05
9727338,4,fl:am_ln:sabne-1,Amit,Sabne,M,e1777be6-16c7-11ed-9b5f-1234bde3cd05
11381431,1,fl:mo_ln:mobin-1,Mohammad S.,Mobin,M,df3e62e2-16c7-11ed-9b5f-1234bde3cd05
9570907,0,fl:ga_ln:gorla-1,Gabriele,Gorla,F,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11250296,0,fl:er_ln:brower-1,Eric Todd,Brower,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
11683453,1,fl:pa_ln:sriram-4,Parthasarathy,Sriram,M,b86c5343-16c7-11ed-9b5f-1234bde3cd05
11966228,1,fl:ho_ln:lee-37,Hon Leung,Lee,M,816cf2b5-16c8-11ed-9b5f-1234bde3cd05
7646389,3,fl:we_ln:chen-564,Wei-Chao,Chen,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8462156,0,fl:pe_ln:fernando-2,Pemith R.,Fernando,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8669999,2,fl:st_ln:molnar-1,Steven E.,Molnar,M,fa3555dc-16c7-11ed-9b5f-1234bde3cd05
11830160,3,fl:su_ln:park-98,Su Inn,Park,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8100543,0,fl:da_ln:luebke-3,David Patrick,Luebke,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8633927,4,fl:da_ln:wexler-3,Daniel Elliot,Wexler,M,bc322e2a-16c7-11ed-9b5f-1234bde3cd05
11950396,0,fl:al_ln:heydari-1,Ali,Heydari,U,c699b0b6-16c7-11ed-9b5f-1234bde3cd05
7068278,1,fl:da_ln:tye-4,Dale Ah,Tye,M,c324ce6e-16c7-11ed-9b5f-1234bde3cd05
7558400,1,fl:wi_ln:newhall-1,William Parsons,"Newhall, Jr.",M,4affd925-16c8-11ed-9b5f-1234bde3cd05
9367946,5,fl:er_ln:lum-1,Eric B.,Lum,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8284152,1,fl:mi_ln:ogrinc-1,Michael A.,Ogrinc,M,4affd925-16c8-11ed-9b5f-1234bde3cd05
8160983,3,fl:we_ln:li-313,Wei,Li,M,39e04522-16c8-11ed-9b5f-1234bde3cd05
8799425,1,fl:im_ln:khatib-1,Imtiyaz Altafhussain,Khatib,M,119ae6d0-16c8-11ed-9b5f-1234bde3cd05
8738891,2,02qow0hfjf0w2ocyq3devy48e,Amir H.,Salek,M,c6c58bd8-16c7-11ed-9b5f-1234bde3cd05
11722671,5,fl:ol_ln:lapicque-1,Olivier,Lapicque,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12020367,1,fl:jo_ln:burgess-14,John,Burgess,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
11189075,1,fl:ti_ln:aila-1,Timo Oskari,Aila,M,5e62b4cb-16c8-11ed-9b5f-1234bde3cd05
9202139,1,fl:ni_ln:binder-2,Nikolaus,Binder,M,3127bc40-16c8-11ed-9b5f-1234bde3cd05
9612836,1,fl:mi_ln:fetterman-1,Michael A.,Fetterman,M,3a257802-16c8-11ed-9b5f-1234bde3cd05
8493396,0,fl:as_ln:karandikar-1,Ashish,Karandikar,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
7576745,3,fl:lu_ln:mimberg-1,Ludger,Mimberg,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7450120,0,fl:zi_ln:hakura-1,Ziyad S.,Hakura,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
8307165,1,fl:jo_ln:edmondson-3,John H.,Edmondson,M,05dc2e20-16c8-11ed-9b5f-1234bde3cd05
10338919,0,fl:br_ln:boswell-3,Brent R.,Boswell,M,c6d1fc1a-16c7-11ed-9b5f-1234bde3cd05
8578387,2,fl:jo_ln:lindholm-5,John Erik,Lindholm,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
9773473,2,fl:da_ln:jacobs-18,David Edward,Jacobs,M,c6a5b57c-16c7-11ed-9b5f-1234bde3cd05
9305324,0,fl:mo_ln:mcguire-1,Morgan,McGuire,M,05ddf7bb-16c8-11ed-9b5f-1234bde3cd05
9891949,3,fl:se_ln:treichler-1,Sean J.,Treichler,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
9760132,3,fl:zu_ln:bokharey-1,Zuhair,Bokharey,M,c402c9a6-16c7-11ed-9b5f-1234bde3cd05
9222981,2,fl:am_ln:sanghani-1,Amit,Sanghani,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8711161,0,fl:st_ln:scotzniovsky-1,Stefan,Scotzniovsky,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11840238,0,fl:mi_ln:park-158,Minwoo,Park,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
7034829,2,fl:ke_ln:dawallu-1,Kevin,Dawallu,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
10216521,1,fl:ri_ln:bramley-2,Richard Gavin,Bramley,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12118353,2,fl:ja_ln:sankaran-2,Jagadeesh,Sankaran,M,c31f4b00-16c7-11ed-9b5f-1234bde3cd05
11321865,4,fl:sa_ln:laine-2,Samuli Matias,Laine,M,5e62b4cb-16c8-11ed-9b5f-1234bde3cd05
8514958,1,fl:vi_ln:ponnampalam-2,Vishakan,Ponnampalam,M,a7e83073-16c8-11ed-9b5f-1234bde3cd05
8897352,5,fl:mi_ln:hopgood-1,Michael,Hopgood,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7623136,0,fl:we_ln:chen-564,Wei-Chao,Chen,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8134568,1,fl:fr_ln:diard-1,Franck R.,Diard,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
12299577,7,fl:al_ln:fitflorea-2,Alex,Fit-Florea,M,c6c58bd8-16c7-11ed-9b5f-1234bde3cd05
6065071,1,fl:da_ln:rosenthal-6,David S. H.,Rosenthal,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
9836325,4,fl:an_ln:rajendran-2,Anjana,Rajendran,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7852340,5,fl:ro_ln:allen-9,Roger L.,Allen,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10489200,4,fl:mi_ln:fetterman-1,Michael A.,Fetterman,M,3a257802-16c8-11ed-9b5f-1234bde3cd05
8327173,3,fl:br_ln:smith-79,Brian L.,Smith,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
9823931,1,fl:al_ln:klaiber-1,Alexander,Klaiber,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
10326625,1,fl:br_ln:zimmer-2,Brian Matthew,Zimmer,M,b21cc8f7-16c7-11ed-9b5f-1234bde3cd05
7362332,0,fl:la_ln:gritz-1,Larry,Gritz,M,b21cc8f7-16c7-11ed-9b5f-1234bde3cd05
7412488,4,fl:sa_ln:nanda-10,Sameer,Nanda,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10133677,1,fl:ca_ln:buschardt-1,Cameron,Buschardt,M,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
8769413,2,fl:ri_ln:tufail-1,Rizwan,Tufail,M,c402c9a6-16c7-11ed-9b5f-1234bde3cd05
9317960,0,fl:ma_ln:kilgard-1,Mark J.,Kilgard,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
8381203,0,fl:bo_ln:beylin-1,Boris,Beylin,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
9177368,2,fl:ig_ln:tjandrasuwita-1,Ignatius B.,Tjandrasuwita,M,c1dc7bdd-16c7-11ed-9b5f-1234bde3cd05
11791938,1,fl:ni_ln:saxena-4,Nirmal,Saxena,M,c7e001c0-16c7-11ed-9b5f-1234bde3cd05
7420565,1,fl:jo_ln:alben-1,Jonah M.,Alben,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11741015,1,fl:ca_ln:buschardt-1,Cameron,Buschardt,M,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
8605097,1,fl:na_ln:myers-2,Nathan,Myers,M,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
8667200,2,fl:ma_ln:swarna-2,Madhukiran V.,Swarna,M,12c9bbe6-16c8-11ed-9b5f-1234bde3cd05
8862091,0,fl:ma_ln:overby-1,Mark A.,Overby,M,bb6d1283-16c7-11ed-9b5f-1234bde3cd05
9535815,0,fl:gr_ln:smith-63,Gregory,Smith,M,7ae839ed-16c8-11ed-9b5f-1234bde3cd05
10317459,0,fl:is_ln:chadha-1,Ish,Chadha,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12072954,4,fl:ni_ln:rieke-1,Nicola Christin,Rieke,F,145cee04-16c8-11ed-9b5f-1234bde3cd05
11803380,0,fl:ol_ln:giroux-2,Olivier,Giroux,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7542749,1,fl:ma_ln:keramat-2,Mansour,Keramat,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12219057,7,fl:lu_ln:dunning-1,Lucien,Dunning,M,097c2266-16c8-11ed-9b5f-1234bde3cd05
11720440,5,fl:yi_ln:feng-7,Yiyang,Feng,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8218555,0,fl:jo_ln:minami-1,John Shigeto,Minami,M,224dae5d-16c8-11ed-9b5f-1234bde3cd05
7412488,2,fl:pa_ln:gyugyi-1,Paul J.,Gyugyi,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
11954791,1,fl:dm_ln:korobchenko-2,Dmitry,Korobchenko,M,13796783-16c8-11ed-9b5f-1234bde3cd05
11698869,2,fl:ra_ln:wong-6,Raymond Hoi Man,Wong,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
8160983,0,fl:ge_ln:fitzmaurice-1,George,Fitzmaurice,M,1831a2a8-16c8-11ed-9b5f-1234bde3cd05
9407427,2,fl:pe_ln:mills-2,Peter C.,Mills,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10255547,1,fl:jo_ln:tran-15,John,Tran,M,d1be55cf-16c7-11ed-9b5f-1234bde3cd05
12055995,4,fl:va_ln:gechman-1,Vadim,Gechman,M,50b88395-16c8-11ed-9b5f-1234bde3cd05
8375306,0,fl:qu_ln:zondervan-1,Quinton,Zondervan,M,0712f582-16c8-11ed-9b5f-1234bde3cd05
7336277,1,fl:da_ln:morey-1,David R.,Morey,M,fa3555dc-16c7-11ed-9b5f-1234bde3cd05
12159344,1,fl:pe_ln:shirley-2,Peter Schuyler,Shirley,M,c1bffd96-16c7-11ed-9b5f-1234bde3cd05
8021194,2,fl:na_ln:subraman-1,Nandan,Subraman,M,c7b15c3f-16c7-11ed-9b5f-1234bde3cd05
10114755,4,fl:ro_ln:ohannessian-1,Robert,Ohannessian,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
6573900,3,fl:jo_ln:montrym-1,John S.,Montrym,M,b86c5343-16c7-11ed-9b5f-1234bde3cd05
7205997,0,fl:ia_ln:williams-5,Ian M.,Williams,M,c8bb57fa-16c7-11ed-9b5f-1234bde3cd05
7966439,2,fl:ro_ln:surgutchick-1,Roman,Surgutchick,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12265416,1,fl:te_ln:raja-1,Tezaswi,Raja,F,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
6417851,1,fl:si_ln:moy-1,Simon,Moy,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
11514637,1,fl:ja_ln:jordan-34,Jan,Jordan,M,3127bc40-16c8-11ed-9b5f-1234bde3cd05
6778176,2,fl:ke_ln:dawallu-1,Kevin,Dawallu,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
10467763,2,fl:mi_ln:liu-245,Ming-Yu,Liu,F,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
7996592,1,fl:ro_ln:bignell-1,Robert Alan,Bignell,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12183063,3,fl:zo_ln:yang-37,Zongyi,Yang,U,07386fb3-16c8-11ed-9b5f-1234bde3cd05
7274373,1,fl:wa_ln:donovan-3,Walter E.,Donovan,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
12275146,6,fl:ja_ln:issac-1,Jan,Issac,F,5836da24-16c8-11ed-9b5f-1234bde3cd05
9971576,0,fl:st_ln:jones-77,Stephen,Jones,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
9071240,2,fl:xi_ln:zhang-671,Xi,Zhang,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7852346,1,fl:jo_ln:lindholm-5,John Erik,Lindholm,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
12016154,0,fl:al_ln:heydari-1,Ali,Heydari,U,c699b0b6-16c7-11ed-9b5f-1234bde3cd05
11270197,2,fl:mi_ln:wang-4,Miaorong,Wang,U,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10713838,5,fl:br_ln:oster-1,Brent L.,Oster,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11907717,7,fl:ma_ln:patel-93,Manan,Patel,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7991918,6,fl:pa_ln:sidenblad-1,Paul J.,Sidenblad,M,c6a61746-16c7-11ed-9b5f-1234bde3cd05
11610435,3,fl:ja_ln:lehtinen-2,Jaakko T.,Lehtinen,M,bab12027-16c7-11ed-9b5f-1234bde3cd05
11954862,1,fl:ni_ln:avadhanam-1,Niranjan,Avadhanam,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
11507846,3,fl:ma_ln:vankeirsbilck-1,Matthijs Jules,Van Keirsbilck,M,3127bc40-16c8-11ed-9b5f-1234bde3cd05
7928997,2,fl:la_ln:gritz-1,Larry,Gritz,M,b21cc8f7-16c7-11ed-9b5f-1234bde3cd05
10019776,3,fl:ja_ln:choquette-1,Jack,Choquette,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
9766734,1,fl:th_ln:skelton-2,Thomas Dean,Skelton,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8610739,0,fl:am_ln:lonkar-3,Amruta Satish,Lonkar,U,119ae6d0-16c8-11ed-9b5f-1234bde3cd05
7546483,1,fl:da_ln:reed-37,David G.,Reed,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
11954496,0,fl:ch_ln:hung-447,Ching-Yu,Hung,F,c3f6bfd4-16c7-11ed-9b5f-1234bde3cd05
11907846,3,fl:ja_ln:kautz-1,Jan,Kautz,F,0ea025b8-16c8-11ed-9b5f-1234bde3cd05
11165394,0,fl:sa_ln:song-76,Sanquan,Song,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11768241,1,fl:ju_ln:wu-173,Jue,Wu,U,c41f88fa-16c7-11ed-9b5f-1234bde3cd05
7289125,0,fl:fr_ln:diard-1,Franck R.,Diard,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
12111842,1,fl:jo_ln:mcdowell-1,Jonathan Andrew,McDowell,M,bd135972-16c7-11ed-9b5f-1234bde3cd05
9250692,0,fl:vi_ln:potpallewar-1,Vivek,Potpallewar,M,5e4daa29-16c8-11ed-9b5f-1234bde3cd05
11574097,5,fl:sa_ln:gangundi-1,Sandeep,Gangundi,M,c7b15c3f-16c7-11ed-9b5f-1234bde3cd05
7974485,0,fl:ha_ln:azar-2,Hassane S.,Azar,M,4affd925-16c8-11ed-9b5f-1234bde3cd05
9727338,0,fl:yu_ln:lin-479,Yuan,Lin,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12169677,0,fl:ha_ln:ren-12,Haoxing,Ren,U,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
8432394,0,fl:ed_ln:hutchins-3,Edward A.,Hutchins,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
9454843,1,fl:er_ln:lum-1,Eric B.,Lum,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
9165394,2,fl:sh_ln:wu-19,Shih-Da,Wu,F,b5c9a039-16c7-11ed-9b5f-1234bde3cd05
9086933,3,fl:vi_ln:grover-5,Vinod,Grover,M,5d0c8fca-16c8-11ed-9b5f-1234bde3cd05
9436969,1,fl:em_ln:kilgariff-1,Emmett M.,Kilgariff,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7467289,5,fl:pa_ln:sabella-1,Paolo E.,Sabella,M,4affd925-16c8-11ed-9b5f-1234bde3cd05
10298475,3,fl:al_ln:odorovic-1,Aleksandar,Odorovic,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
11687435,2,fl:yo_ln:kulkarni-4,Yogesh Prabhakar,Kulkarni,M,1416e13d-16c8-11ed-9b5f-1234bde3cd05
9792122,4,fl:ka_ln:abdalla-1,Karim M.,Abdalla,M,c8bb57fa-16c7-11ed-9b5f-1234bde3cd05
8228328,0,fl:ma_ln:french-14,Mark J.,French,M,04726932-16c8-11ed-9b5f-1234bde3cd05
8135964,0,fl:ha_ln:shi-51,Haixia,Shi,F,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
11935177,0,fl:ya_ln:ouyang-5,Yaobin,Ouyang,U,35a7da9f-16c8-11ed-9b5f-1234bde3cd05
11182207,0,fl:ge_ln:hirota-1,Gentaro,Hirota,U,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
10902933,0,fl:an_ln:kalva-1,Anitha,Kalva,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11157414,5,fl:ro_ln:babich-1,Ronald Charles,"Babich, Jr.",M,fb3e86a9-16c7-11ed-9b5f-1234bde3cd05
6333744,3,fl:wa_ln:donovan-3,Walter E.,Donovan,M,c7b15c3f-16c7-11ed-9b5f-1234bde3cd05
10929654,2,fl:th_ln:breuel-1,Thomas,Breuel,M,c7a9cbf8-16c7-11ed-9b5f-1234bde3cd05
7616204,1,fl:br_ln:heidelberger-2,Bruno,Heidelberger,M,27196ff2-16c8-11ed-9b5f-1234bde3cd05
11625605,2,fl:pa_ln:springer-1,Paul Martin,Springer,M,3127eb80-16c8-11ed-9b5f-1234bde3cd05
8271746,0,fl:br_ln:hutsell-1,Brian D.,Hutsell,M,4d366dfe-16c8-11ed-9b5f-1234bde3cd05
10852811,2,fl:ju_ln:gu-10,Jun,Gu,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12190435,0,fl:gr_ln:muthler-2,Gregory,MUTHLER,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
9086933,2,fl:gi_ln:bharambe-1,Girish Bhaskar,Bharambe,M,119ae6d0-16c8-11ed-9b5f-1234bde3cd05
12204897,11,fl:am_ln:arora-2,Aman,Arora,M,68a4ea01-16c8-11ed-9b5f-1234bde3cd05
8198727,0,fl:in_ln:singh-13,Inderjit,Singh,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
6963348,2,fl:ab_ln:dewaal-1,Abraham Benjamin,de Waal,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11379944,6,fl:om_ln:paranjape-1,Omkar,Paranjape,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
11698272,10,fl:mi_ln:grabner-1,Michael,Grabner,M,816d1200-16c8-11ed-9b5f-1234bde3cd05
8427495,3,fl:st_ln:molnar-1,Steven E.,Molnar,M,fa3555dc-16c7-11ed-9b5f-1234bde3cd05
8656093,1,fl:sh_ln:keil-2,Shane J.,Keil,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
10983699,0,fl:jo_ln:lindholm-5,John Erik,Lindholm,M,c39d6412-16c7-11ed-9b5f-1234bde3cd05
11830160,1,fl:yu_ln:cheng-49,Yu-Te,Cheng,F,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7937710,2,fl:be_ln:garlick-1,Benjamin J.,Garlick,M,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
8085275,1,fl:pa_ln:sabella-1,Paolo E.,Sabella,M,4affd925-16c8-11ed-9b5f-1234bde3cd05
7542043,2,fl:ga_ln:tarolli-1,Gary M.,Tarolli,M,0becf5ff-16c8-11ed-9b5f-1234bde3cd05
8587581,5,fl:zi_ln:hakura-1,Ziyad S.,Hakura,M,15a22f0f-16c8-11ed-9b5f-1234bde3cd05
8669991,3,fl:gr_ln:palmer-9,Gregory Scott,Palmer,M,7ae82d76-16c8-11ed-9b5f-1234bde3cd05
9575892,1,fl:je_ln:duluk-1,Jerome F.,"Duluk, Jr.",M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
11995883,0,fl:aa_ln:prakash-1,Aayush,Prakash,M,1831a2a8-16c8-11ed-9b5f-1234bde3cd05
10600229,0,fl:zi_ln:hakura-1,Ziyad S.,Hakura,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
7872668,1,fl:ca_ln:ruggiero-1,Carl J.,Ruggiero,M,c111042f-16c7-11ed-9b5f-1234bde3cd05
8237705,5,fl:br_ln:coon-1,Brett W.,Coon,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11429419,2,fl:da_ln:lim-22,David Kyungtag,Lim,M,c6a61746-16c7-11ed-9b5f-1234bde3cd05
10459861,7,fl:ra_ln:jandhyala-1,Ramesh,Jandhyala,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
11487341,0,fl:an_ln:naik-8,Aniket,Naik,M,6482ff1a-49af-11ed-9879-1234bde3cd05
10503513,4,fl:mi_ln:fetterman-1,Michael A.,Fetterman,M,3a257802-16c8-11ed-9b5f-1234bde3cd05
11010516,0,fl:ha_ln:sikka-1,Harbinder,Sikka,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10593020,2,fl:mi_ln:liu-245,Ming-Yu,Liu,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12333688,2,fl:ar_ln:vahdat-2,Arash,Vahdat,M,a26e2a3b-16c8-11ed-9b5f-1234bde3cd05
11804000,1,fl:ti_ln:aila-1,Timo Oskari,Aila,M,8fe265be-49af-11ed-9879-1234bde3cd05
10713838,3,fl:pe_ln:sloan-1,Peter-Pike,Sloan,M,816d2d55-16c8-11ed-9b5f-1234bde3cd05
10241798,1,fl:pe_ln:nelson-18,Peter,Nelson,M,4affd925-16c8-11ed-9b5f-1234bde3cd05
8266383,1,fl:st_ln:heinrich-6,Steven James,Heinrich,M,e08bd564-16c7-11ed-9b5f-1234bde3cd05
12164599,0,fl:ho_ln:roth-1,Holger Reinhard,Roth,M,ff3559ac-16c7-11ed-9b5f-1234bde3cd05
11436484,4,fl:cl_ln:delaunay-2,Claire,Delaunay,F,c8bb57fa-16c7-11ed-9b5f-1234bde3cd05
8935559,2,fl:th_ln:greer-3,Thomas Hastings,"Greer, III",M,fa3555dc-16c7-11ed-9b5f-1234bde3cd05
11182598,4,fl:mi_ln:naphade-1,Milind R.,Naphade,M,c6a61746-16c7-11ed-9b5f-1234bde3cd05
7598958,0,fl:br_ln:kelleher-3,Brian,Kelleher,M,a26e22db-16c8-11ed-9b5f-1234bde3cd05
10984286,4,fl:ja_ln:kautz-1,Jan,Kautz,F,0ea025b8-16c8-11ed-9b5f-1234bde3cd05
11882678,2,fl:al_ln:ishii-2,Alexander,Ishii,M,3b439e68-16c8-11ed-9b5f-1234bde3cd05
8134566,1,fl:er_ln:werness-1,Eric S.,Werness,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12187187,5,fl:sa_ln:chandrasekar-3,Sai Krishnan,Chandrasekar,M,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
8867605,0,fl:we_ln:jia-47,Wei,Jia,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
9484115,10,fl:le_ln:wang-42,Lei,Wang,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11376500,2,fl:al_ln:solovey-1,Alexey,Solovey,M,c41f88fa-16c7-11ed-9b5f-1234bde3cd05
8380778,1,fl:mi_ln:garland-4,Michael,Garland,M,cf718108-16c7-11ed-9b5f-1234bde3cd05
12069840,1,fl:pa_ln:shahi-1,Pardeep,Shahi,M,d4082b6e-16c7-11ed-9b5f-1234bde3cd05
11798183,3,fl:di_ln:fox-1,Dieter,Fox,M,5836da24-16c8-11ed-9b5f-1234bde3cd05
8872833,0,fl:ja_ln:vandyke-9,James M.,Van Dyke,M,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
8570322,1,fl:al_ln:keller-7,Alexander,Keller,M,3127bc40-16c8-11ed-9b5f-1234bde3cd05
9829967,0,fl:sa_ln:duell-1,Sam,Duell,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8768160,0,fl:sh_ln:lin-230,Shang-Hung,Lin,M,13f05eea-16c8-11ed-9b5f-1234bde3cd05
12081812,2,fl:sa_ln:li-5,Sau Yan Keith,Li,F,13f05eea-16c8-11ed-9b5f-1234bde3cd05
